X,Y,@id,leisure,FIXME,area,wheelchair,source,source_ref,access,operator,name,barrier,surface,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,is_in:city,is_in:country,is_in:country_code,is_in:state,is_in:state_code,designation,amenity
6296625.168067483231425,1852300.564142227871343,node/380183787,playground,,,,,,,,City Heights Cherokee Point Playground,,,,,,,,,,,,,,
6363115.30576922185719,1901613.275361554697156,node/595766408,playground,,,,,,,,,,,,,,,,,,,,,,
6306309.523962688632309,1870229.368511642795056,node/597141288,playground,,,,,,,,Allied Gardens Park,,,San Diego,US,5200,92120,Greenbrier Av,San Diego,United States of America,US,California,CA,,
6080785.006879420019686,2185770.055100377649069,node/635496034,playground,,,,,,,,,,,,,,,,,,,,,,
6080850.641746734268963,2185682.918466608040035,node/635496035,playground,,,,,,,,,,,,,,,,,,,,,,
6240870.608234209008515,2034560.944434394128621,node/692517706,playground,,,,,,,,,,,,,,,,,,,,,,
6240957.730201148428023,2034583.464979246258736,node/692517720,playground,,,,,,,,,,,,,,,,,,,,,,
6264712.355374364182353,2020582.220576965482906,node/924656438,playground,,,,,,,,,,,,,,,,,,,,,,
6284456.809838637709618,1849862.965791525552049,node/925950663,playground,,,,,,,,,,,,,,,,,,,,,,
6284356.02664375398308,1849769.415618751198053,node/925950678,playground,,,,,,,,,,,,,,,,,,,,,,
6285363.923325054347515,1847860.745155941694975,node/925950685,playground,,,,,,,,,,,,,,,,,,,,,,
6255946.954194960184395,1971256.751493042800575,node/931333603,playground,,,,,,,,,,,,,,,,,,,,,,
6253649.739210389554501,1970140.209248356288299,node/931349041,playground,,,,,,,,,,,,,,,,,,,,,,
6253529.66210974380374,1971148.952129331417382,node/931349042,playground,,,,,,,,,,,,,,,,,,,,,,
6251965.34446682035923,1971542.686142488848418,node/931377468,playground,,,,,,,,,,,,,,,,,,,,,,
6254684.320771028287709,1970497.42742420383729,node/931377483,playground,,,,,,,,,,,,,,,,,,,,,,
6227666.205711969174445,2009813.047264092136174,node/1009986524,playground,,,,,,,,Hosp Grove Playground,,,,,,,,,,,,,,
6156487.177704121917486,2154808.63730141101405,node/1068863226,playground,,,,,,,,,,,,,,,,,,,,,,
6261777.132474161684513,2007511.653180384542793,node/1111148918,playground,,,,,,,,,,,,,,,,,,,,,,
6249691.192383845336735,2009447.961187264882028,node/1117864417,playground,,,,,,,,,,,,,,,,,,,,,,
6332663.398584065958858,1979946.935302411438897,node/1126836892,playground,,,,,,,,,,,,,,,,,,,,,,
6332311.222822201438248,1980986.720291568897665,node/1128901330,playground,,,,,,,,,,,,,,,,,,,,,,
6111488.680498017929494,2156173.60997402947396,node/1158223523,playground,,,,,,,,,,,,,,,,,,,,,,
6111328.890414772555232,2157349.395714290440083,node/1158368414,playground,,,,,,,,,,,,,,,,,,,,,,
6328958.677939682267606,1792037.427188218338415,node/1171659963,playground,,,,,,,,,,,,,,,,,,,,,,
6291916.176919818855822,2140593.440473058260977,node/1248064838,playground,,,,"bing_imagery_0.25m_201005;survey;image",AM909_DSCX4332,,,,,,,,,,,,,,,,,
6246991.655515633523464,1880772.203416857868433,node/1252099187,playground,,,,,,,,,,,,,,,,,,,,,,
6302475.660226169042289,2168072.213118365500122,node/1260345886,playground,,,,"bing_imagery_0.25m_201005;survey;image",AM909_DSCX4444,,,,,,,,,,,,,,,,,
6295118.562399633228779,2147307.469652918167412,node/1281331112,playground,,,,bing_imagery_0.25m_201005,AM909_DSCX5813,,,,,,,,,,,,,,,,,
6302077.764673558063805,2145283.046034121885896,node/1283628174,playground,,,,"bing_imagery_0.25m_201005;survey;audio",AM909_201105061911_1919,,,,,,,,,,,,,,,,,
6290660.166129924356937,2143721.209572246298194,node/1283991983,playground,,,,,,,,,,,,,,,,,,,,,,
6300943.061498949304223,2148923.414975174702704,node/1284464059,playground,,,,bing_imagery_0.25m_201005,,,,,,,,,,,,,,,,,,
6309751.770868817344308,2077590.292896962724626,node/1291363535,playground,,,,"bing_imagery_0.25m_201005;survey;image",AM909_DSCX5417,,,,,,,,,,,,,,,,,
6299862.730285310186446,2113210.726580903399736,node/1300536354,playground,,,,"bing_imagery_0.25m_201005;survey;image",AM909_DSCX3806,,,,,,,,,,,,,,,,,
6262604.382885867729783,1899440.676979249110445,node/1319098394,playground,,,,,,,,North Mesa Housing Playground,,,,,,,,,,,,,,
6263756.717234436422586,1899192.220928001450375,node/1319098403,playground,,,,,,,,North Mesa Housing Playground,,,,,,,,,,,,,,
6288599.896256471052766,2176785.217844790313393,node/1382723615,playground,,,,"bing_imagery_0.25m_201005;survey;image",AM909_DSCY1498,,,,,,,,,,,,,,,,,
6304745.82420552149415,1914977.703871301840991,node/1425913687,playground,,,,,,,,,,,,,,,,,,,,,,
6304766.80547312926501,1915029.967460881453007,node/1425913787,playground,,,,,,,,,,,,,,,,,,,,,,
6304600.477643269114196,1915023.116537473164499,node/1425916813,playground,,,,,,,,,,,,,,,,,,,,,,
6298905.013489463366568,2116411.810085827950388,node/1431599928,playground,,,,"bing_imagery_0.25m_201005;survey;image",AM909_DSCX6045,,,,,,,,,,,,,,,,,
6291680.371957366354764,1916956.980617830296978,node/1436276456,playground,,,,,,,,,,,,,,,,,,,,,,
6291611.253476679325104,1917057.516336936736479,node/1436276519,playground,,,,,,,,,,,,,,,,,,,,,,
6311354.2523267949,2078019.90571413282305,node/1436421233,playground,,,,bing_imagery_0.25m_201005,,,,,,,,,,,,,,,,,,
6307497.742254295386374,2126796.556662677321583,node/1439053376,playground,,,,bing_imagery_0.25m_201005,,,,,,,,,,,,,,,,,,
6307597.855661600828171,2126815.369636142160743,node/1439053426,playground,,,,"bing_imagery_0.25m_201005;survey;image",AM909_DSCX4186,,,,,,,,,,,,,,,,,
6307429.446365931071341,2126879.450024750549346,node/1439053553,playground,,,,bing_imagery_0.25m_201005,,,,,,,,,,,,,,,,,,
6300415.169277762062848,2117127.896462201140821,node/1458213423,playground,,,,"bing_imagery_0.25m_201005;survey;image",AM909_DSCX3563,,,,,,,,,,,,,,,,,
6252138.280252979137003,1893361.179608265170828,node/1532364623,playground,,,limited,,,,,LA JOLLA SHORES,,,,,,,,,,,,,FUN AT THE BEACH,
6088166.432952328585088,2181375.540987315122038,node/1584027147,playground,,,,,,,,,,,,,,,,,,,,,,
6332136.514277685433626,1979620.333011872600764,node/1672171191,playground,,,,,,,,,,,,,,,,,,,,,,
6139615.765514303930104,2154437.682705385610461,node/1767276672,playground,,,,,,,,,,,,,,,,,,,,,,
6458714.989856708794832,1786277.005057732807472,node/1890615245,playground,,,,,,,,Parque Andalucia,,,,,,,,,,,,,,
6451786.685627677477896,1786555.706967170815915,node/1903081892,playground,,,,,,,,parque el descanso,,,,,,,,,,,,,,
6108563.42557982262224,2161989.887110223062336,node/1949857482,playground,,,,Visual,,,,Pacific Ridge Community Association Playground,,,,,,,,,,,,,Playground,
6112487.565858578309417,2165147.736379412468523,node/2128294787,playground,,,,,,,,Aliso Viejo Aquatic Center Playground,,,,,,,,,,,,,,
6237045.988234942778945,2031111.29598961235024,node/2341607958,playground,,,,,,,,,,,,,,,,,,,,,,
6283522.53716157656163,1910966.505289012333378,node/2450163257,playground,,,,,,,,,,,,,,,,,,,,,,
6289621.27814485412091,1850394.609059567330405,node/2504421567,playground,,,,,,,,,,,,,,,,,,,,,,
6289882.951107833534479,1849906.200417285086587,node/2504421568,playground,,,,,,,,Bird Park Swingset,,,,,,,,,,,,,,
6345287.79106368497014,1820578.830374933546409,node/2659959394,playground,,,,,,,,,,,,,,,,,,,,,,
6345344.123107490129769,1820607.195198860950768,node/2659959619,playground,,,,,,,,,,,,,,,,,,,,,,
6287928.069258602336049,1994087.849965453380719,node/2882820358,playground,,,,,,,,Jacks Lake,,,,,,,,,,,,,,
6246213.36335778888315,1965166.777273592771962,node/2913720628,playground,,,,,,,,,,,,,,,,,,,,,,
6251129.295725642703474,1988233.837070703972131,node/2956750333,playground,,,,,,,,,,,,,,,,,,,,,,
6238799.310183535329998,1972206.423812804510817,node/2973902330,playground,,,,,,,,,,,,,,,,,,,,,,
6287860.696246313862503,1998120.60933889541775,node/3285115961,playground,,,,,,,,,,,,,,,,,,,,,,
6283815.082976478151977,2003041.035300507443026,node/3285185931,playground,,,,,,,,Tot Lot,,,,,,,,,,,,,,
6283181.988142327405512,2000856.038125815102831,node/3285186734,playground,,,,,,,,Tot Lot,,,,,,,,,,,,,,
6291133.803751464001834,1923368.88637217017822,node/3285187333,playground,,,,,,,,,,,,,,,,,,,,,,
6079917.205952170304954,2178384.974954364821315,node/3466646397,playground,,,,,,,,University Hills Space Park,,,,,,,,,,,,,,
6138712.47004525270313,2160958.485663458239287,node/3502009063,playground,,,,,,,,,,,,,,,,,,,,,,
6138701.63712041452527,2161034.65136459376663,node/3502009102,playground,,,,,,,,,,,,,,,,,,,,,,
6164518.828425851650536,2141926.649022471159697,node/3648111912,playground,,,,GPS Survey,,,,,,,,,,,,,,,,,,toilets
6233268.073189435526729,2033175.32340136449784,node/3699267061,playground,,,,,,,,,,,,,,,,,,,,,,
