SITE_CODE,SC_NEW,COMMON_NAM,DESIGNATED,ACRES,ADDRESS_LO,THOMAS_BRO,COMMUNITY_,MANAGING_D,COUNCIL_DI,COUNCIL_1,USE_RESTRI,MWWD_WATER,DEDIC_PK_O,SHAPE_AREA,SHAPE_LEN
R502RD,R502RD,AZALEA PARK           631,NEIGHBORHD PARK,2.95200000,PEPPER DR & POPLAR ST,1269G7,CITY HEIGHTS,PARK AND RECREATION,3,,SEE L1203 ENTRIES,N,Y,139169.40722200001,1463.78110810000
R502RS,R502RS,AZALEA PARK           631,NEIGHBORHD PARK,5.37300000,PEPPER DR & POPLAR ST,1269G7,CITY HEIGHTS,PARK AND RECREATION,3,,UNKNOWN,N,N,245422.73307900000,4406.35765292000
R604RD,R604RD,EMERALD HILLS PARK    671,NEIGHBORHD PARK,9.57100000,KELTON RD AND BETHUNE CT,1290C2,ENCANTO,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,421112.96886199998,3512.70572527000
S744RS,S744RS,ENCANTO PARK EXPANSION,NEIGHBORHD PARK,0.09000000,DRAKE ST SLY IMPERIAL,1290E3,SKYLINE-PARADISE HLS,PARK AND RECREATION,4,,NONE,N,N,3544.59633707000,335.42032949900
R503RD,R503RD,MONTCLAIR PARK        642,NEIGHBORHD PARK,4.81200000,NILE ST & QUINCE ST,1269F7,GREATER NORTH PARK,PARK AND RECREATION,3,,DEDIC PK/OS--ORD.,N,Y,214119.29009400000,6434.76914914000
R503RS,R503RS,MONTCLAIR PARK        642,NEIGHBORHD PARK,2.43300000,NILE & QUINCE,1269F7,GREATER NORTH PARK,PARK AND RECREATION,3,,DEDICATED STREET,N,N,166197.10918500001,5158.69998772000
R643RD,R643RD,SUNSHINE BERARDINI FIELD,NEIGHBORHD PARK,0.01600000,FAIRMOUNT AV & 47TH ST,1289J1,CITY HEIGHTS,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,741.63576669200,123.28775824700
R644RD,R644RD,SUNSHINE BERARDINI FIELD,NEIGHBORHD PARK,5.85700000,FAIRMOUNT AV NELY OF/ELY RIDGE VIEW,1289J1,CITY HEIGHTS,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,253394.79930399999,2715.15618425000
S438RS,S438RS,MARINA LINEAR PARK,NEIGHBORHD PARK,0.13100000,"L ST SELY; WLY 6TH AV",1289A4,CENTRE CITY,PARK AND RECREATION,2,,NONE,N,N,5441.21043013000,429.47104873800
S505RD,S505RD,GRANT HILL PARK       652,NEIGHBORHD PARK,2.66000000,"26TH ST & ""J"" ST",1289D4,SOUTHEASTERN SAN DIEGO,PARK AND RECREATION,8,,DEDIC PK/OS--ORD.,N,Y,115349.02529300000,1592.37959762000
S509RS,S509RS,CHICANO PARK          651,NEIGHBORHD PARK,0.36000000,NATIONAL AV & W I-5,1289C5,BARRIO LOGAN,PARK AND RECREATION,8,,SEE L1203 ENTRIES,N,N,15513.89760780000,496.97427278000
S547RD,S547RD,MOUNTAIN VIEW PARK    661,NEIGHBORHD PARK,3.35200000,OCEAN VIEW BLV & 40TH ST,1289H5,SOUTHEASTERN SAN DIEGO,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,130158.03195500000,1792.46981288000
S590RD,S590RD,"ALLEN, DENNIS V. PK 663",NEIGHBORHD PARK,5.63000000,NWLY MARKET ST & 39TH ST,1289G3,SOUTHEASTERN SAN DIEGO,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,245264.69270799999,2393.56895176000
S629RD,S629RD,"KENNEDY, JOHN F PARK  664",NEIGHBORHD PARK,4.08300000,OCEANVIEW BLVD & GLORIA SWLY,1290A5,ENCANTO,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,180490.06677100001,1804.27946971000
S702RD,S702RD,MARTIN L KING P&RC  680,COMMUNITY PARK,34.28100000,SKYLINE DR WLY 65TH ST,1290D5,ENCANTO,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,1505737.85122000007,5255.13224714000
S704RD,S704RD,KEILLER PARK          692,NEIGHBORHD PARK,5.77000000,LISBON ST AT WOODROW,1290F3,SKYLINE-PARADISE HLS,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,247056.56925700000,2448.53097563000
S706RD,S706RD,SKYVIEW PARK          691,NEIGHBORHD PARK,4.88400000,SKYLINE DR & SYCHAR,1290F4,SKYLINE-PARADISE HLS,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,238707.73910400001,1996.18654634000
S734RS,S734RS,ENCANTO PARK          681,NEIGHBORHD PARK,1.90700000,IMPERIAL & DRAKE,1290E3,SKYLINE-PARADISE HLS,PARK AND RECREATION,4,,SEE L1203 ENTRIES,N,N,82188.85472150000,1126.96997540000
S736RS,S736RS,ENCANTO PARK          681,NEIGHBORHD PARK,1.80100000,IMPERIAL AV & DRAKE SE COR,1290E3,SKYLINE-PARADISE HLS,PARK AND RECREATION,4,,UNKNOWN,N,N,81451.76062370000,1297.62918300000
T501RD,T501RD,SOUTHCREST P&RC       660,COMMUNITY PARK,17.19900000,40TH & Z ELY,1289H6,SOUTHEASTERN SAN DIEGO,PARK AND RECREATION,8,,DEDIC PK/OS--ORD.,N,Y,761899.37432800001,5200.54450959000
T527RD,T527RD,41ST ST MINI-PARK     660,NEIGHBORHD PARK,0.16100000,41ST & GAMMA SE COR,1289H7,SOUTHEASTERN SAN DIEGO,PARK AND RECREATION,8,,DEDIC PK/OS--ORD.,N,Y,7002.70784041000,380.12062594500
T536RS,T536RS,FATHER BROCKHAUS PARK,NEIGHBORHD PARK,2.72000000,I5 NELY OF/SELY RIGEL ST,1289G6,SOUTHEASTERN SAN DIEGO,PARK AND RECREATION,8,,SEE L1203 ENTRIES,N,N,118595.30487399999,1919.49079684000
T601RD,T601RD,HENDERSON SPORT CPLX D434,NEIGHBORHD PARK,16.62000000,45TH ST & BOSTON,1289J6,SOUTHEASTERN SAN DIEGO,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,736558.80101199995,3918.94436426000
T707RD,T707RD,BAY TERRACES P&RC     700,COMMUNITY PARK,12.08900000,CASEY ST ELY APPIAN DR,1290G7,SKYLINE-PARADISE HLS,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,524351.50553099997,3036.25908703000
Y602RD,Y602RD,EGGER-SOUTH BAY P&RC  730,COMMUNITY PARK,8.97000000,CORONADO AVE & SATURN BL,1350A1,OTAY MESA-NESTOR,PARK AND RECREATION,8,,DEDIC PK/OS--ORD.,N,Y,386631.30383300001,2479.60077121000
Y605RD,Y605RD,BERRY PARK            733,NEIGHBORHD PARK,3.76000000,LEON AVE ELY SATURN BL,1350A2,OTAY MESA-NESTOR,PARK AND RECREATION,8,,DEDIC PK/OS--ORD.,N,Y,160792.84681799999,1756.84624803000
Y606RD,Y606RD,SUNNYSLOPE PARK       724,NEIGHBORHD PARK,4.17000000,PALM WLY DESTY ST,1330C7,OTAY MESA-NESTOR,PARK AND RECREATION,8,,DEDIC PK/OS--ORD.,N,Y,184462.18254400001,1782.90836474000
Y613RD,Y613RD,NESTOR PARK           732,NEIGHBORHD PARK,5.04000000,GROVE AVE WLY I-5,1350B1,OTAY MESA-NESTOR,PARK AND RECREATION,8,,DEDIC PK/OS--ORD.,N,Y,217263.88212400000,2415.87481968000
Y702RD,Y702RD,SILVERWING PARK       722,NEIGHBORHD PARK,12.99000000,AREY DR SWLY DARWIN,1330F7,OTAY MESA-NESTOR,PARK AND RECREATION,8,,DEDIC PK/OS--ORD.,N,Y,567368.75596099999,3026.97694686000
Y704RD,Y704RD,HOWARD LANE PARK      741,NEIGHBORHD PARK,6.60000000,DAIRYMART RD SLY BEYER RD,1350D2,SAN YSIDRO,PARK AND RECREATION,8,,DEDIC PK/OS--ORD.,N,Y,294784.04528399999,2294.78462600000
Y716RS,Y716RS,OCEAN HILLS NBHD PK #1,NEIGHBORHD PARK,5.10000000,OCEAN VIEW HILLS PKWY ELY LYNDHURST,1330J7,OTAY MESA,PARK AND RECREATION,8,,NONE,N,N,222698.87015300000,2026.55879322000
Y806RS,Y806RS,VISTA PACIFICA PARK,NEIGHBORHD PARK,6.87000000,VISTA SAN IGNACIO/AVE DE LAS VISTAS,1331B7,OTAY MESA,PARK AND RECREATION,8,,SEE L1203 ENTRIES,N,N,299359.61321099999,2337.48879565000
Z704RD,Z704RD,VISTA TERRACE PARK    742,NEIGHBORHD PARK,8.00100000,ATHEY AV WLY SMYTHE,1350F2,SAN YSIDRO,PARK AND RECREATION,8,,DEDIC PK/OS--ORD.,N,Y,354676.49703099998,3343.62952211000
Z705RD,Z705RD,SAN YSIDRO P&RC       740,COMMUNITY PARK,3.19500000,WEST PARK & SAN YSIDRO BLV,1350G4,SAN YSIDRO,PARK AND RECREATION,8,,MULTIPLE,N,Y,125410.34506900000,3602.27824340000
Z725RD,Z725RD,SAN YSIDRO BOYS CLUB  741,COMMUNITY CENTER,1.45000000,BLANDO LN WLY DIZA RD,1350F2,SAN YSIDRO,PARK AND RECREATION,8,,DEDIC PK/OS--ORD.,N,Y,77410.03561090000,1327.64127864000
Z730RS,Z730RS,CORAL GATE NBHD PARK,NEIGHBORHD PARK,2.89000000,ANELLA RD & SIPES LN,1350F5,SAN YSIDRO,PARK AND RECREATION,8,,UNKNOWN,N,N,130845.74711300000,1459.83561112000
O405RD,O405RD,E CLAIREMONT ATHL AR  432,NEIGHBORHD PARK,8.70200000,MT ACADIA BLVD & MT ABBEY,1248G5,CLAIREMONT MESA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,379640.57028300001,2732.15067303000
O405RS,O405RS,E CLAIREMONT ATHL AR PKG,NEIGHBORHD PARK,0.89800000,MT ACADIA BLVD/MT ABBEY,1248G5,CLAIREMONT MESA,PARK AND RECREATION,6,,SEE L1203 ENTRIES,N,N,18090.37574550000,805.75863818100
O601RD,O601RD,ALLIED GARDENS P&RC   380,COMMUNITY PARK,3.52000000,GLENROY ST NLY ZION,1250A6,NAVAJO,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,165898.82333399999,1599.30869585000
O602RD,O602RD,ALLIED GARDENS P&RC   380,COMMUNITY PARK,9.82600000,GREENBRIER AV & GLENROY,1250A5,NAVAJO,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,435486.22321400000,2937.17128338000
O605RD,O605RD,GRANTVILLE PARK       382,NEIGHBORHD PARK,2.52500000,VANDEVER AVE & CRAWFORD ST,1249J7,NAVAJO,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,109553.50226300000,1487.97037378000
O417RD,O417RD,LINDA VISTA P&RC      400,COMMUNITY PARK,12.43300000,LEVANT ST & OSLER ST,1248J6,LINDA VISTA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,553913.27397900005,3318.19852708000
O702RD,O702RD,RHO MISSION CYN PK    383,NEIGHBORHD PARK,18.83700000,MARGERUM AVE & LARCHWOOD AVE,1250C4,NAVAJO,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,827029.04019299999,3880.21496451000
O709RD,O709RD,LAKE MURRAY CMTY PK   370,COMMUNITY PARK,36.79000000,MURRAY PARK DR & ELMCREST,1250E6,NAVAJO,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,1353841.61971000000,7429.54578707000
O709RS,O709RS,LAKE MURRAY CMTY PK,COMMUNITY PARK,9.03600000,MURRAY PK DR SLY CASSELBERRY WY,1250E6,NAVAJO,PARK AND RECREATION,7,,NONE,N,N,387486.69182000001,2814.84287830000
P201R4,P201R4,OCEAN BEACH PARK      540,REGIONAL PARK,37.34400000,BEACH BETW VOLTAIRE & NIAGARA,1267J6,OCEAN BEACH,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,1324458.40824000002,9411.57256707000
P321RD,P321RD,TECOLOTE P&RC         410,COMMUNITY PARK,1.26500000,MORENA BLVD & TECOLOTE RD,1268E2,CLAIREMONT MESA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,72597.46029210000,2644.27370533000
P201R5,P201R5,PACIFIC BEACH PARK    511,NEIGHBORHD PARK,8.35100000,BEACH BETW GARNET & S. RITA,1247H7,PACIFIC BEACH,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,352831.83793400001,5016.54786775000
P501RS,P501RS,KENSINGTON PARK       601,NEIGHBORHD PARK,0.49600000,ADAMS AVE AT KENSINGTON DR,1269G3,KENSINGTON-TALMADGE,PARK AND RECREATION,3,,UNKNOWN,N,N,19780.68164870000,958.49429209800
P504RD,P504RD,ADAMS AVENUE PARK     600,COMMUNITY PARK,1.46700000,ADAMS AVE & 35TH ST,1269F3,NORMAL HEIGHTS,PARK AND RECREATION,3,,DEDIC PK/OS--ORD.,N,Y,42073.34124100000,853.14924211100
P528RD,P528RD,WEST MTN VIEW PK      600,NEIGHBORHD PARK,0.42000000,N MOUNTAIN VIEW DR WLY 34TH ST,1269F2,NORMAL HEIGHTS,PARK AND RECREATION,3,,DEDIC PK/OS--ORD.,N,Y,18503.98754820000,601.14370993200
P529RS,P529RS,KENMORE TERRACE PARK  600,NEIGHBORHD PARK,0.09000000,KENMORE TER NWLY W MT VW DR,1269E3,NORMAL HEIGHTS,PARK AND RECREATION,3,,NONE,N,N,6542.25513166000,387.05132880500
P701RD,P701RD,MONTEZUMA PARK        614,NEIGHBORHD PARK,1.56000000,CATOCTIN ELY 63RD ST,1270D2,COLLEGE AREA,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,68536.85459240001,1077.33320089000
Q203RD,Q203RD,COLLIER PARK          540,NEIGHBORHD PARK,6.72400000,NIMITZ BLVD & SOTO ST,1268B6,PENINSULA,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,247276.18622199999,3264.31828436000
Q205RD,Q205RD,OCEAN BEACH P&RC      540,COMMUNITY PARK,1.20500000,EBERS ST & SANTA MONICA,1267J6,OCEAN BEACH,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,55978.41546750000,1102.90351117000
Q206RD,Q206RD,"CLEATOR, BILL, PARK   560",COMMUNITY PARK,15.23800000,NIMITZ & SOTO ST,1268B6,PENINSULA,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,728447.05676199996,5236.83440730000
Q401RD,Q401RD,MISSION HILLS PARK    571,NEIGHBORHD PARK,4.30000000,RANDOLPH & WASHINGTON PL,1268H5,UPTOWN,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,216111.95834899999,3595.71649071000
Q503RD,Q503RD,PARK DE LA CRUZ       632,NEIGHBORHD PARK,6.83100000,LANDIS AT 40TH ST SWLY,1269G6,CITY HEIGHTS,PARK AND RECREATION,3,,SEE L1203 ENTRIES,N,Y,295792.96451500000,2217.76144977000
Q505RS,Q505RS,NORTH PARK P&RC       590,COMMUNITY PARK,7.89600000,HOWARD AV & OREGON ST SELY,1269D5,GREATER NORTH PARK,PARK AND RECREATION,3,,SEE L1203 ENTRIES,N,N,364229.41935099999,3928.50869376000
Q518RS,Q518RS,NORMAL HEIGHTS P&RC   600,COMMUNITY PARK,2.74400000,EDNA PL & 39TH ELY,1269G3,NORMAL HEIGHTS,PARK AND RECREATION,3,,SEE L1203 ENTRIES,N,N,114880.33342000000,1357.37414450000
Q602RD,Q602RD,E SD ADULT REC CLB 630,NEIGHBORHD PARK,0.25100000,FAIRMOUNT SLY POLK,1269H5,CITY HEIGHTS,PARK AND RECREATION,3,,DEDIC PK/OS--ORD.,N,Y,10033.07831270000,405.33275418600
Q603RD,Q603RD,COLINA DEL SOL P&RC   610,COMMUNITY PARK,34.11600000,ORANGE AVE & 52ND ST,1270A5,CITY HEIGHTS,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,1366511.18767999997,5854.19880954000
Q302RS,Q302RS,EL CAMPO SANTO O-P-P  570,NEIGHBORHD PARK,0.27900000,SAN DIEGO AV & ARISTA,1268F5,OLD TOWN SAN DIEGO,PARK AND RECREATION,2,,SEE L1203 ENTRIES,N,N,12012.55876330000,437.06869728600
Q303RS,Q303RS,PRESIDIO P&RC         570,COMMUNITY PARK,6.51500000,"TAYLOR ST ELY; I-8 SLY",1268E4,OLD TOWN SAN DIEGO,PARK AND RECREATION,2,,SEE L1203 ENTRIES,N,N,321414.13529800001,5466.45047218000
Q334RD,Q334RD,PRESIDIO P & RC      570,COMMUNITY PARK,11.55000000,TAYLOR ST & PRESIDIO DR,1268F4,OLD TOWN SAN DIEGO,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,518166.17643699999,3793.54860516000
Q404RD,Q404RD,MISSION HILLS PARK    571,NEIGHBORHD PARK,6.40000000,RANDOLF ST & WASHINGTON PL SLY,1268H5,UPTOWN,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,278461.04757200001,2102.36352336000
Q503RS,Q503RS,PARK DE LA CRUZ,NEIGHBORHD PARK,1.58700000,LANDIS ST AT 38TH ST,1269G5,CITY HEIGHTS,PARK AND RECREATION,3,,SEE L1203 ENTRIES,N,N,89987.32966880000,2088.77632422000
Q504RD,Q504RD,WABASH PARK O-P-P     632,NEIGHBORHD PARK,0.17000000,UNIVERSITY AVE & WABASH AVE,1269F5,CITY HEIGHTS,PARK AND RECREATION,3,,SEE L1203 ENTRIES,N,Y,5711.37219104000,340.61154215500
Q517RS,Q517RS,39TH ST COMMUNITY PK  600,COMMUNITY PARK,0.67300000,WARD RD & 40TH ST SWLY,1269G3,NORMAL HEIGHTS,PARK AND RECREATION,3,,NONE,N,N,25173.50860040000,1222.50869871000
Q519RS,Q519RS,NORMAL HEIGHTS P&RC   600,COMMUNITY PARK,0.20400000,WARD RD & 39TH ST,1269G3,NORMAL HEIGHTS,PARK AND RECREATION,3,,MULTIPLE,N,N,9959.52405512000,633.34070490100
Q527RS,Q527RS,ONERIA CLUB O-P-P     600,NEIGHBORHD PARK,0.18000000,HAWLEY BL & SCHOOL ST SELY OF,1269F3,NORMAL HEIGHTS,PARK AND RECREATION,3,,SEE L1203 ENTRIES,N,N,8194.99590511000,385.11249013600
Q535RS,Q535RS,NORMAL HEIGHTS P&RC  600,COMMUNITY PARK,0.11800000,WARD RD & 39TH ST,1269H4,NORMAL HEIGHTS,PARK AND RECREATION,3,,NONE,N,N,5311.83565971000,434.57481935200
P403RD,P403RD,MISSION HEIGHTS PARK  401,NEIGHBORHD PARK,11.34000000,ULRIC ST NWLY LINBROOK,1268J2,LINDA VISTA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,490281.71032600000,3401.64905448000
P525RD,P525RD,OLD TROLLEY BARN PARK 591,NEIGHBORHD PARK,3.07100000,ADAMS AV & CARMELINA DR,1269C3,UPTOWN,PARK AND RECREATION,3,,DEDIC PK/OS--ORD.,N,Y,156241.17257299999,1897.58900859000
P711RD,P711RD,CLAY PARK             615,NEIGHBORHD PARK,0.36700000,SEMINOLE DR & SOLITA AV,1270D3,EASTERN AREAS,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,19342.99861030000,921.33545625600
Q206RS,Q206RS,COLLIER PARK EAST,COMMUNITY PARK,0.03000000,NIMITZ BL & SOTO ST,1268B6,PENINSULA,PARK AND RECREATION,2,,UNKNOWN,N,N,1000.56434724000,135.46857037900
Q303RD,Q303RD,PRESIDIO P&RC         570,COMMUNITY PARK,41.61700000,TAYLOR ST & PRESIDIO DR,1268F4,OLD TOWN SAN DIEGO,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,1798973.93186999997,8575.97953775000
Q304RD,Q304RD,PLUMOSA PARK          562,NEIGHBORHD PARK,1.35000000,CHATSWORTH BLVD AT HYACINTH,1268C6,PENINSULA,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,47741.00640900000,1208.35693046000
Q314RD,Q314RD,PRESIDIO P&RC         570,COMMUNITY PARK,0.89300000,TAYLOR ST & PRESIDIO NLY,1268F4,OLD TOWN SAN DIEGO,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,30141.75091160000,1517.30835480000
Z705R1,Z705R1,UTIL PCL IN SAN YSIDRO PK,NEIGHBORHD PARK,0.14500000,E PARK AV NLY SAN YSIDRO BLV,1350G4,SAN YSIDRO,PARK AND RECREATION,8,,UNKNOWN,W,Y,5523.46776180000,297.85814292500
Z706RS,Z706RS,SAN YSIDRO ATHL AREA  743,NEIGHBORHD PARK,15.61000000,SYCAMORE RD SLY END OF,1350F5,SAN YSIDRO,PARK AND RECREATION,8,,SEE L1203 ENTRIES,W,N,701602.10819099995,3480.05344320000
Z731RS,Z731RS,SAN YSIDRO ATHLETIC FIELD,NEIGHBORHD PARK,0.98000000,CAMINO DE LA PLAZA & SIPES LN,1350F5,SAN YSIDRO,PARK AND RECREATION,8,,NONE,N,N,42667.65063250000,1126.43706477000
O402RD,O402RD,CABRILLO HEIGHTS PARK 393,NEIGHBORHD PARK,13.68000000,KEARNY VILLRD & I-805,1249B4,SERRA MESA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,600083.49157700001,4345.03711650000
O403RD,O403RD,KEARNY MESA P&RC      430,COMMUNITY PARK,71.23000000,MESA COLLEGE DR & ARMSTRONG ST,1248J5,LINDA VISTA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,3041047.07568999985,7855.33670648000
O406RD,O406RD,MURRAY RIDGE PARK     392,NEIGHBORHD PARK,11.08600000,MISSION CTR RD & MURRAYRIDGE,1249C7,SERRA MESA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,465877.08633700002,3278.45088471000
O411RD,O411RD,LINDA VISTA P&RC      400,COMMUNITY PARK,3.46000000,GENESEE AV SLY PARK MESA WY,1248J6,LINDA VISTA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,137859.01706700001,1725.78002187000
O603RD,O603RD,PRINCESS DEL CERRO PK 381,NEIGHBORHD PARK,5.48000000,WENRICH DR SLY ELDERGARDENS ST,1250C6,NAVAJO,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,237490.12653099999,2026.67962787000
